response_date,rating, nps32,2
2020-10-19,29239,1
2020-12-14,35727,6
2020-12-28,23599,3
2020-10-24,21175,5
2020-10-22,10664,0
2020-11-20,27185,9
2020-12-05,36861,7
2036,5
2020-11-11,33100,3
2020-10-31,29813,1
2020-12-15,43302,8
2020-12-26,46786,0
2020-11-14,43791,2
2020-10-24,29191,7
2020-12-11,18604,9
2020-11-27,47069,6
2020-12-18,30442,7
2020-12-12,24863,5
2020-10-05,23480,10
2020-11-18,38649,2
2020-11-07,26477,6
2020-10-17,12736,1
2020-10-08,35133,9
2020-11-17,39852,0
2020-11-28,39179,2
2020-10-07,44636,8
2020-11-08,36840,0
2020-11-27,25638,0
2020-10-24,19387,7
2020-10-11,41842,9
2020-12-15,21540,10
2020-10-06,47242,9
2020-11-04,21177,7
2020-10-12,41464,10
2020-12-14,31229,2
2020-12-17,23272,2
2020-12-23,41865,8
2020-12-05,40393,8
2020-11-25,29474,0
2020-12-21,39940,0
2020-11-26,21681,9
2020-11-29,49363,8
2020-11-23,37816,4
2020-11-17,14129,5
2020-10-10,29657,8
2020-12-08,15841,0
2020-11-05,27401,9
2020-12-30,16585,2
2020-10-15,31522,6
2020-11-03,13630,2
2020-12-27,33819,10
2020-12-23,13052,5
2020-11-03,44920,6
2020-12-26,23800,3
2020-11-21,43073,8
2020-10-20,35765,10
2020-11-23,21358,9
2020-10-22,17482,9
2020-12-17,23510,2
2020-11-21,17000,10
2020-11-22,30998,9
2020-11-05,34069,4
2020-10-08,21654,8
2020-10-23,18432,9
2020-11-02,42556,10
2020-12-29,45167,5
2020-11-19,19099,7
2020-12-07,39491,10
2020-12-09,39840,5
2020-12-14,35255,4
2020-10-02,42180,2
2020-10-26,39059,6
2020-12-19,21991,2
2020-12-14,12634,1
2020-12-14,32170,2
2020-11-05,25930,1
2020-11-22,28956,9
2020-10-25,13437,5
2020-12-07,15771,9
2020-12-22,14292,5
2020-11-22,12988,0
2020-12-11,14364,8
2020-11-26,15718,7
2020-12-05,14957,2
2020-12-09,42166,1
2020-12-08,42688,1
2020-12-02,21534,7
2020-11-19,16895,1
2020-10-26,44140,2
2020-10-08,25759,10
2020-11-11,14199,9
2020-11-23,11849,7
2020-11-15,24990,8
2020-12-16,32142,2
2020-11-01,43022,9
2020-11-28,18719,6
2020-11-15,24945,4
2020-10-15,40040,8
2020-11-29,28310,3
2020-10-04,45638,9
2020-12-13,44724,6
2020-10-08,16832,9
2020-12-19,32874,9
2020-10-14,22564,5
