DateTime,Location,Gender,Res1,Res2
2017-12-17T01:46:00Z,Ames PD,M,0.046,0.046
2017-12-14T03:30:00Z,ISU PD,F,0.12100000000000001,0.12000000000000001
2017-12-10T05:04:00Z,ISU PD,F,0.068,0.067
2017-12-10T03:13:00Z,ISU PD,F,0.07700000000000001,0.07700000000000001
2017-12-09T02:35:00Z,ISU PD,M,0.085,0.084
2017-12-09T01:23:00Z,Ames PD,M,0.16,0.161
2017-12-07T03:23:00Z,Ames PD,M,0.131,0.131
2017-12-04T01:46:00Z,ISU PD,M,0,0
2017-12-03T01:14:00Z,Ames PD,M,0.091,0.09
2017-12-03T00:56:00Z,Ames PD,M,0.095,0.095
2017-12-02T01:26:00Z,Ames PD,M,0.15500000000000003,0.15500000000000003
2017-11-29T03:53:00Z,ISU PD,F,0.171,0.171
2017-11-21T03:02:00Z,ISU PD,F,0.05,0.051000000000000004
2017-11-17T18:22:00Z,ISU PD,M,0.17600000000000002,0.17600000000000002
2017-11-11T03:31:00Z,Ames PD,M,0.07200000000000001,0.07200000000000001
2017-11-11T02:50:00Z,ISU PD,M,0.094,0.093
2017-11-11T02:33:00Z,ISU PD,F,0.10600000000000001,0.10600000000000001
2017-11-10T03:03:00Z,ISU PD,M,0.14500000000000002,0.14400000000000002
2017-11-09T02:21:00Z,Ames PD,F,0.14800000000000002,0.14800000000000002
2017-11-08T03:34:00Z,ISU PD,F,0.11,0.11
2017-11-06T19:52:00Z,Ames PD,F,0,0
2017-11-05T02:03:00Z,ISU PD,M,0.15500000000000003,0.15500000000000003
2017-11-05T00:17:00Z,Ames PD,M,0.114,0.113
2017-11-04T03:11:00Z,Ames PD,M,0.10700000000000001,0.10700000000000001
2017-11-03T03:12:00Z,ISU PD,M,0,0
2017-11-02T02:18:00Z,Ames PD,M,0,0
2017-10-29T05:15:00Z,Ames PD,F,0.164,0.164
2017-10-29T04:46:00Z,ISU PD,M,0.101,0.101
2017-10-29T04:17:00Z,Ames PD,M,0.116,0.116
2017-10-29T03:05:00Z,ISU PD,F,0.1,0.09899999999999999
2017-10-28T19:01:00Z,Ames PD,M,0.119,0.12000000000000001
2017-10-28T03:13:00Z,ISU PD,M,0.164,0.163
2017-10-28T02:57:00Z,Ames PD,M,0.10300000000000001,0.10300000000000001
2017-10-28T02:31:00Z,Ames PD,F,0,0
2017-10-28T02:22:00Z,ISU PD,M,0.134,0.134
2017-10-27T21:12:00Z,Ames PD,M,0.025,0.025
2017-10-26T03:38:00Z,Ames PD,M,0.136,0.136
2017-10-24T18:41:00Z,Ames PD,M,0.10700000000000001,0.10600000000000001
